EXPOCODE 316N200310 (316N173_2)  WHP-ID A22      CRUISE DATES 102303 TO 111503    20050523SIOWHPOSA                                                                                                            
  STNNBR  CASTNO  SAMPNO  BTLNBR  CTDRAW  CTDPRS  CTDTMP  CTDSAL  CTDOXY   THETA  SALNTY  OXYGEN  SILCAT  NITRAT  NITRIT  PHSPHT  CFC-11  CFC-12  CFC113    TCO2  ALKALI    CCL4          QUALT1
                                            DBAR  ITS-90  PSS-78 UMOL/KG   DEG C  PSS-78 UMOL/KG UMOL/KG UMOL/KG UMOL/KG UMOL/KG PMOL/KG PMOL/KG PMOL/KG UMOL/KG UMOL/KG PMOL/KG                               
                         *******                         ******* *******         ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* ******* *******                               
       6       1      13      13   125.6   125.6 20.4795 36.8013   145.9 20.4557 36.7964   147.3    1.76    6.33    0.02    0.36   2.133   1.252   0.046  2144.1  2406.4  -9.000 222222222666229
       6       1      12      12   150.7   150.7 19.1505 36.6271   145.8 19.1232 36.6225   146.9    2.24    7.94    0.02    0.46   2.160   1.248   0.018  2148.3  2395.6  -9.000 222222222222229
       6       1      11      11   201.5   201.5 16.9486 36.2809   145.5 16.9151 36.2831   145.4    3.33   11.42    0.01    0.66   2.123   1.187   0.025  2155.2  2377.0  -9.000 222222222222229
       6       1      10      10   251.0   251.0 14.3516 35.8280   135.4 14.3144 35.8323   133.9    6.14   16.97    0.00    1.03   1.852   1.001   0.020  2172.3  2346.2  -9.000 222222222222229
       6       1       9       9   301.8   301.8 12.4328 35.4946   125.5 12.3922 35.4951   125.5    8.84   21.29    0.00    1.32   1.560   0.837   0.018  2182.5  2325.1  -9.000 222222222222229
       6       1       8       8   401.6   401.6 10.1695 35.1412   119.2 10.1218 35.1435   119.5   12.76   26.25    0.00    1.66   1.089   0.573   0.004  2199.0  2311.7  -9.000 222222222222239
       6       1       7       7   501.2   501.2  8.5727 34.9306   118.7  8.5190 34.9311   119.6   16.38   29.59    0.00    1.90   0.695   0.361   0.027  2205.6  2304.7  -9.000 222222222222229
       6       1       6       6   626.1   626.1  7.3581 34.8098   121.7  7.2962 34.8100   123.4   19.90   31.63    0.00    2.05   0.392   0.220   0.011  2213.8  2302.2   0.239 222222222662262
       6       1       5       5   751.1   751.1  6.2423 34.7698   132.5  6.1737 34.7703   133.7   23.32   32.02    0.00    2.11   0.167   0.094   0.011  2216.7    -9.0  -9.000 222222222223299
       6       1       4       4   901.0   901.0  5.4327 34.8780   162.3  5.3548 34.8790   163.9   24.21   28.09    0.00    1.88   0.064   0.042   0.003  2207.7    -9.0  -9.000 222222222222299
       6       1       3       3  1051.0  1051.0  4.8718 34.9390   188.0  4.7841 34.9386   187.6   24.08   25.18    0.00    1.70   0.042   0.031   0.000  2201.1  2319.3  -9.000 222222222222229
       6       1       2       2  1201.0  1201.0  4.5352 34.9588   199.9  4.4367 34.9579   199.9   24.57   23.85    0.00    1.61   0.035   0.020   0.004  2198.5  2322.7  -9.000 222222222222229
       6       1       1       1  1330.0  1330.0  4.4184 34.9643   203.9  4.3093 34.9640   204.1   25.06   23.41    0.00    1.58   0.036   0.025   0.005  2196.6  2324.4  -9.000 222222222222269
       7       1      33      33     4.5     4.5 28.8879 36.6225   194.7 28.8868 36.6166   193.2    0.69   -0.02    0.00    0.02   1.544   0.913   0.092  2043.6  2388.0   1.571 222222222222222
       7       1      32      32    25.1    25.1 28.8897 36.6223   195.2 28.8837 36.6193   193.1    0.58    0.00    0.00    0.02   1.532   0.918   0.096  2043.9  2390.1   1.574 222222222222262
       7       1      31      31    50.0    50.0 26.3498 36.6714   197.2 26.3384 36.6606   197.3    0.65    0.00    0.00    0.02   1.765   1.028   0.079  2057.8  2390.6   0.747 222222222222222
       7       1      30      30    74.8    74.8 23.9014 36.9482   168.9 23.8856 36.9453   168.2    0.84    1.41    0.25    0.12   1.858   1.093   0.057  2110.1  2407.8   0.274 222222222222222
       7       1      29      29   100.7   100.7 22.1085 36.9262   151.2 22.0884 36.9219   151.0    1.53    4.94    0.08    0.28   1.987   1.143   0.039  2134.4  2404.0   0.196 222222222222222
       7       1      28      28   124.6   124.6 20.8648 36.8271   147.0 20.8408 36.8101   146.4    1.91    6.51    0.03    0.36   1.982   1.149   0.022  2144.3  2397.5   0.180 222222222222222
       7       1      27      27   150.2   150.2 18.8991 36.5877   145.0 18.8721 36.5745   146.8    2.51    8.66    0.01    0.49   2.041   1.172   0.014  2147.5  2382.9   0.215 222222222222222
       7       1      26      26   200.1   200.1 17.5940 36.3927   145.7 17.5599 36.3857   146.4    3.19   10.54    0.01    0.60   2.040   1.148   0.009    -9.0    -9.0   0.239 222222222222992
       7       1      25      25   250.2   250.2 15.0471 35.9477   137.6 15.0087 35.9455   136.8    5.40   15.70    0.01    0.93   1.879   1.004   0.014    -9.0    -9.0   0.267 222222222222992
       7       1      24      24   300.7   300.7 13.2026 35.6228   127.1 13.1604 35.1746   128.3    8.01   19.74    0.00    1.21   1.622   0.858   0.012    -9.0    -9.0   0.282 222422222222992
       7       1      23      23   400.4   400.4 10.3712 35.1719   119.5 10.3231 35.6277   120.1   12.55   25.77    0.00    1.63   1.124   0.618   0.011    -9.0    -9.0   0.308 222422222622992
       7       1      22      22   500.6   500.6  8.8138 34.9540   118.3  8.7592 34.9514   119.1   15.88   28.95    0.00    1.86   0.744   0.409   0.027    -9.0    -9.0   0.307 222222222222992
       7       1      21      21   625.2   625.2  7.3992 34.8097   121.8  7.3371 34.8064   123.9   20.02   31.33    0.00    2.04   0.405   0.225   0.007    -9.0    -9.0   0.261 222222222222992
       7       1      20      20   750.5   750.5  6.3618 34.7714   131.0  6.2925 34.7712   132.2   23.35   31.73    0.00    2.10   0.170   0.102   0.005    -9.0    -9.0   0.177 222222222222992
       7       1      19      19   900.1   900.1  5.6604 34.8449   154.0  5.5810 34.8453   154.5   24.34   29.19    0.00    1.94   0.091   0.053   0.002    -9.0    -9.0   0.127 222222222222992
       7       1      18      18  1050.3  1050.3  4.9941 34.9286   181.7  4.9055 34.9294   182.4   24.63   25.69    0.00    1.73   0.057   0.034   0.002    -9.0    -9.0   0.119 222222222222992
       7       1      17      17  1200.1  1200.1  4.6430 34.9539   196.4  4.5437 34.9542   196.0   24.61   24.18    0.00    1.63   0.049   0.038   0.005    -9.0    -9.0   0.125 222222222222992
       7       1      16      16  1324.9  1324.9  4.4595 34.9627   202.0  4.3504 34.9665   202.7   25.11   23.47    0.00    1.58   0.047   0.025   0.005    -9.0    -9.0   0.126 222222222222992
       7       1      15      15  1450.7  1450.7  4.3326 34.9682   206.6  4.2132 34.9687   207.2   25.49   23.06    0.00    1.55   0.046   0.033   0.002    -9.0    -9.0   0.126 222222222222992
       7       1      14      14  1576.1  1576.1  4.2288 34.9717   209.5  4.0989 34.9717   210.3   26.29   22.71    0.00    1.53   0.038   0.024   0.004    -9.0    -9.0   0.114 222222222222992
       7       1      13      13  1701.6  1701.6  4.1551 34.9737   212.2  4.0143 34.9740   213.0   26.68   22.45    0.00    1.50   0.035   0.026   0.002    -9.0    -9.0   0.109 222222222222992
       7       1      12      12  1851.0  1851.0  4.1185 34.9747   213.1  3.9638 34.9705   214.1   27.17   22.35    0.00    1.50   0.026   0.024   0.002    -9.0    -9.0   0.100 222422222222992
       7       1      11      11  2001.0  2001.0  4.0932 34.9754   213.9  3.9242 34.9689   215.1   27.45   22.24    0.00    1.50   0.028   0.026   0.002    -9.0    -9.0   0.094 222422222666996
       7       1      10      10  2250.2  2250.2  4.0896 34.9760   213.7  3.8957 34.9721   214.9   28.35   22.23    0.00    1.50   0.024   0.028   0.004    -9.0    -9.0   0.087 222422222224992
